NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
1,Albany,1974,54161,Congregate Meals
1,Albany,1974,7558,Home Delivered Meals
2,Allegany,1974,13244,Congregate Meals
2,Allegany,1974,4984,Home Delivered Meals
3,Broome,1974,74614,Congregate Meals
3,Broome,1974,11679,Home Delivered Meals
4,Cattaraugus,1974,10583,Congregate Meals
4,Cattaraugus,1974,376,Home Delivered Meals
5,Cayuga,1974,12710,Congregate Meals
5,Cayuga,1974,1959,Home Delivered Meals
6,Chautauqua,1974,34517,Congregate Meals
6,Chautauqua,1974,3217,Home Delivered Meals
7,Chemung,1974,21062,Congregate Meals
7,Chemung,1974,420,Home Delivered Meals
8,Chenango,1974,33024,Congregate Meals
8,Chenango,1974,2550,Home Delivered Meals
9,Clinton,1974,11289,Congregate Meals
9,Clinton,1974,618,Home Delivered Meals
11,Cortland,1974,25878,Congregate Meals
11,Cortland,1974,3565,Home Delivered Meals
12,Delaware,1974,16815,Congregate Meals
12,Delaware,1974,1278,Home Delivered Meals
13,Dutchess,1974,17518,Congregate Meals
13,Dutchess,1974,1294,Home Delivered Meals
14,Erie,1974,149584,Congregate Meals
14,Erie,1974,36937,Home Delivered Meals
15,Essex,1974,9339,Congregate Meals
15,Essex,1974,4465,Home Delivered Meals
16,Franklin,1974,21344,Congregate Meals
16,Franklin,1974,1697,Home Delivered Meals
19,Greene,1974,24362,Congregate Meals
19,Greene,1974,6976,Home Delivered Meals
21,Herkimer,1974,15971,Congregate Meals
21,Herkimer,1974,1102,Home Delivered Meals
22,Jefferson,1974,26042,Congregate Meals
22,Jefferson,1974,4660,Home Delivered Meals
23,Lewis,1974,7098,Congregate Meals
23,Lewis,1974,3252,Home Delivered Meals
25,Madison,1974,19083,Congregate Meals
25,Madison,1974,1549,Home Delivered Meals
26,Monroe,1974,69790,Congregate Meals
26,Monroe,1974,4969,Home Delivered Meals
27,Montgomery,1974,24633,Congregate Meals
27,Montgomery,1974,3671,Home Delivered Meals
28,Nassau,1974,81233,Congregate Meals
28,Nassau,1974,9012,Home Delivered Meals
29,Niagara,1974,36619,Congregate Meals
29,Niagara,1974,17,Home Delivered Meals
30,Oneida,1974,46022,Congregate Meals
30,Oneida,1974,14688,Home Delivered Meals
31,Onondaga,1974,75789,Congregate Meals
31,Onondaga,1974,7966,Home Delivered Meals
32,Ontario,1974,21220,Congregate Meals
32,Ontario,1974,1195,Home Delivered Meals
33,Orange,1974,23837,Congregate Meals
33,Orange,1974,3792,Home Delivered Meals
35,Oswego,1974,15605,Congregate Meals
35,Oswego,1974,1695,Home Delivered Meals
36,Otsego,1974,20009,Congregate Meals
36,Otsego,1974,1875,Home Delivered Meals
38,Rensselaer,1974,9625,Congregate Meals
38,Rensselaer,1974,31237,Home Delivered Meals
39,Rockland,1974,25512,Congregate Meals
39,Rockland,1974,5642,Home Delivered Meals
40,St. Lawrence,1974,34677,Congregate Meals
40,St. Lawrence,1974,7671,Home Delivered Meals
41,Saratoga,1974,33321,Congregate Meals
41,Saratoga,1974,1228,Home Delivered Meals
42,Schenectady,1974,25189,Congregate Meals
42,Schenectady,1974,4755,Home Delivered Meals
45,Seneca,1974,9661,Congregate Meals
45,Seneca,1974,2809,Home Delivered Meals
46,Steuben,1974,41224,Congregate Meals
46,Steuben,1974,2308,Home Delivered Meals
47,Suffolk,1974,103122,Congregate Meals
47,Suffolk,1974,6296,Home Delivered Meals
48,Sullivan,1974,14585,Congregate Meals
48,Sullivan,1974,1856,Home Delivered Meals
49,Tioga,1974,19680,Congregate Meals
49,Tioga,1974,1151,Home Delivered Meals
50,Tompkins,1974,10393,Congregate Meals
50,Tompkins,1974,411,Home Delivered Meals
51,Ulster,1974,12658,Congregate Meals
51,Ulster,1974,9726,Home Delivered Meals
52,Warren/Hamilton,1974,19326,Congregate Meals
52,Warren/Hamilton,1974,6133,Home Delivered Meals
54,Wayne,1974,21477,Congregate Meals
54,Wayne,1974,2203,Home Delivered Meals
55,Westchester,1974,100418,Congregate Meals
55,Westchester,1974,1927,Home Delivered Meals
56,Wyoming,1974,20129,Congregate Meals
56,Wyoming,1974,2241,Home Delivered Meals
60,New York City,1974,1599396,Congregate Meals
60,New York City,1974,132401,Home Delivered Meals
1,Albany,1975,77921,Congregate Meals
1,Albany,1975,10728,Home Delivered Meals
2,Allegany,1975,13638,Congregate Meals
2,Allegany,1975,4638,Home Delivered Meals
3,Broome,1975,117327,Congregate Meals
3,Broome,1975,18942,Home Delivered Meals
4,Cattaraugus,1975,31249,Congregate Meals
4,Cattaraugus,1975,1012,Home Delivered Meals
5,Cayuga,1975,22668,Congregate Meals
5,Cayuga,1975,3088,Home Delivered Meals
6,Chautauqua,1975,68300,Congregate Meals
6,Chautauqua,1975,6486,Home Delivered Meals
7,Chemung,1975,35088,Congregate Meals
7,Chemung,1975,2996,Home Delivered Meals
8,Chenango,1975,45630,Congregate Meals
8,Chenango,1975,7069,Home Delivered Meals
9,Clinton,1975,24703,Congregate Meals
9,Clinton,1975,719,Home Delivered Meals
11,Cortland,1975,40075,Congregate Meals
11,Cortland,1975,11477,Home Delivered Meals
12,Delaware,1975,31896,Congregate Meals
12,Delaware,1975,3429,Home Delivered Meals
13,Dutchess,1975,38439,Congregate Meals
13,Dutchess,1975,2547,Home Delivered Meals
14,Erie,1975,275480,Congregate Meals
14,Erie,1975,56845,Home Delivered Meals
15,Essex,1975,20075,Congregate Meals
15,Essex,1975,13536,Home Delivered Meals
16,Franklin,1975,42542,Congregate Meals
16,Franklin,1975,4954,Home Delivered Meals
17,Fulton,1975,9843,Congregate Meals
17,Fulton,1975,0,Home Delivered Meals
19,Greene,1975,61605,Congregate Meals
19,Greene,1975,20455,Home Delivered Meals
21,Herkimer,1975,27791,Congregate Meals
21,Herkimer,1975,2185,Home Delivered Meals
22,Jefferson,1975,43954,Congregate Meals
22,Jefferson,1975,5764,Home Delivered Meals
23,Lewis,1975,14779,Congregate Meals
23,Lewis,1975,10332,Home Delivered Meals
25,Madison,1975,29765,Congregate Meals
25,Madison,1975,4650,Home Delivered Meals
26,Monroe,1975,96618,Congregate Meals
26,Monroe,1975,4454,Home Delivered Meals
27,Montgomery,1975,34017,Congregate Meals
27,Montgomery,1975,5782,Home Delivered Meals
28,Nassau,1975,162623,Congregate Meals
28,Nassau,1975,20971,Home Delivered Meals
29,Niagara,1975,73470,Congregate Meals
29,Niagara,1975,29,Home Delivered Meals
30,Oneida,1975,101349,Congregate Meals
30,Oneida,1975,18196,Home Delivered Meals
31,Onondaga,1975,114625,Congregate Meals
31,Onondaga,1975,10686,Home Delivered Meals
32,Ontario,1975,19063,Congregate Meals
32,Ontario,1975,226,Home Delivered Meals
33,Orange,1975,43509,Congregate Meals
33,Orange,1975,4138,Home Delivered Meals
35,Oswego,1975,24417,Congregate Meals
35,Oswego,1975,3869,Home Delivered Meals
36,Otsego,1975,34331,Congregate Meals
36,Otsego,1975,5302,Home Delivered Meals
38,Rensselaer,1975,25446,Congregate Meals
38,Rensselaer,1975,37204,Home Delivered Meals
39,Rockland,1975,40285,Congregate Meals
39,Rockland,1975,6132,Home Delivered Meals
40,St. Lawrence,1975,28093,Congregate Meals
40,St. Lawrence,1975,5477,Home Delivered Meals
41,Saratoga,1975,43247,Congregate Meals
41,Saratoga,1975,4465,Home Delivered Meals
42,Schenectady,1975,34494,Congregate Meals
42,Schenectady,1975,15246,Home Delivered Meals
44,Schuyler,1975,3176,Congregate Meals
44,Schuyler,1975,0,Home Delivered Meals
45,Seneca,1975,16606,Congregate Meals
45,Seneca,1975,6033,Home Delivered Meals
46,Steuben,1975,38128,Congregate Meals
46,Steuben,1975,3672,Home Delivered Meals
47,Suffolk,1975,178599,Congregate Meals
47,Suffolk,1975,13560,Home Delivered Meals
48,Sullivan,1975,29129,Congregate Meals
48,Sullivan,1975,4872,Home Delivered Meals
49,Tioga,1975,20917,Congregate Meals
49,Tioga,1975,1985,Home Delivered Meals
50,Tompkins,1975,23194,Congregate Meals
50,Tompkins,1975,2087,Home Delivered Meals
51,Ulster,1975,26291,Congregate Meals
51,Ulster,1975,6587,Home Delivered Meals
52,Warren/Hamilton,1975,40813,Congregate Meals
52,Warren/Hamilton,1975,8678,Home Delivered Meals
53,Washington,1975,2711,Congregate Meals
53,Washington,1975,473,Home Delivered Meals
54,Wayne,1975,34628,Congregate Meals
54,Wayne,1975,6651,Home Delivered Meals
55,Westchester,1975,193208,Congregate Meals
55,Westchester,1975,3033,Home Delivered Meals
56,Wyoming,1975,21756,Congregate Meals
56,Wyoming,1975,3022,Home Delivered Meals
60,New York City,1975,1765602,Congregate Meals
60,New York City,1975,338290,Home Delivered Meals
1,Albany,1976,91659,Congregate Meals
1,Albany,1976,12767,Home Delivered Meals
2,Allegany,1976,18635,Congregate Meals
2,Allegany,1976,8311,Home Delivered Meals
3,Broome,1976,124983,Congregate Meals
3,Broome,1976,21121,Home Delivered Meals
4,Cattaraugus,1976,41402,Congregate Meals
4,Cattaraugus,1976,3094,Home Delivered Meals
5,Cayuga,1976,41211,Congregate Meals
5,Cayuga,1976,6396,Home Delivered Meals
6,Chautauqua,1976,73388,Congregate Meals
6,Chautauqua,1976,10124,Home Delivered Meals
7,Chemung,1976,46760,Congregate Meals
7,Chemung,1976,5772,Home Delivered Meals
8,Chenango,1976,56141,Congregate Meals
8,Chenango,1976,11514,Home Delivered Meals
9,Clinton,1976,26866,Congregate Meals
